SITE_ID,STREET,GAP_START,GAP_END,GAP_DAYS
32493,Wellington Street,2022-12-26,2022-12-31,6
9077,Albert Street,2019-08-05,2020-01-19,168
9077,Albert Street,2022-12-26,2022-12-31,6
40004,Heidelberg Road,2019-10-01,2021-01-08,466
40004,Heidelberg Road,2021-12-13,2021-12-19,7
40004,Heidelberg Road,2022-01-03,2022-01-09,7
40004,Heidelberg Road,2022-02-07,2022-02-20,14
40004,Heidelberg Road,2022-02-28,2022-03-06,7
40005,Heidelberg Road,2019-10-01,2021-01-08,466
40005,Heidelberg Road,2021-12-13,2021-12-19,7
40005,Heidelberg Road,2022-01-03,2022-01-09,7
40005,Heidelberg Road,2022-02-07,2022-02-20,14
40005,Heidelberg Road,2022-02-28,2022-03-06,7
