SITE_ID,STREET,DATE
32493,Wellington Street,2022-12-26
32493,Wellington Street,2022-12-27
32493,Wellington Street,2022-12-28
32493,Wellington Street,2022-12-29
32493,Wellington Street,2022-12-30
32493,Wellington Street,2022-12-31
9077,Albert Street,2019-08-05
9077,Albert Street,2019-08-06
9077,Albert Street,2019-08-07
9077,Albert Street,2019-08-08
9077,Albert Street,2019-08-09
9077,Albert Street,2019-08-10
9077,Albert Street,2019-08-11
9077,Albert Street,2019-08-12
9077,Albert Street,2019-08-13
9077,Albert Street,2019-08-14
9077,Albert Street,2019-08-15
9077,Albert Street,2019-08-16
9077,Albert Street,2019-08-17
9077,Albert Street,2019-08-18
9077,Albert Street,2019-08-19
9077,Albert Street,2019-08-20
9077,Albert Street,2019-08-21
9077,Albert Street,2019-08-22
9077,Albert Street,2019-08-23
9077,Albert Street,2019-08-24
9077,Albert Street,2019-08-25
9077,Albert Street,2019-08-26
9077,Albert Street,2019-08-27
9077,Albert Street,2019-08-28
9077,Albert Street,2019-08-29
9077,Albert Street,2019-08-30
9077,Albert Street,2019-08-31
9077,Albert Street,2019-09-01
9077,Albert Street,2019-09-02
9077,Albert Street,2019-09-03
9077,Albert Street,2019-09-04
9077,Albert Street,2019-09-05
9077,Albert Street,2019-09-06
9077,Albert Street,2019-09-07
9077,Albert Street,2019-09-08
9077,Albert Street,2019-09-09
9077,Albert Street,2019-09-10
9077,Albert Street,2019-09-11
9077,Albert Street,2019-09-12
9077,Albert Street,2019-09-13
9077,Albert Street,2019-09-14
9077,Albert Street,2019-09-15
9077,Albert Street,2019-09-16
9077,Albert Street,2019-09-17
9077,Albert Street,2019-09-18
9077,Albert Street,2019-09-19
9077,Albert Street,2019-09-20
9077,Albert Street,2019-09-21
9077,Albert Street,2019-09-22
9077,Albert Street,2019-09-23
9077,Albert Street,2019-09-24
9077,Albert Street,2019-09-25
9077,Albert Street,2019-09-26
9077,Albert Street,2019-09-27
9077,Albert Street,2019-09-28
9077,Albert Street,2019-09-29
9077,Albert Street,2019-09-30
9077,Albert Street,2019-10-01
9077,Albert Street,2019-10-02
9077,Albert Street,2019-10-03
9077,Albert Street,2019-10-04
9077,Albert Street,2019-10-05
9077,Albert Street,2019-10-06
9077,Albert Street,2019-10-07
9077,Albert Street,2019-10-08
9077,Albert Street,2019-10-09
9077,Albert Street,2019-10-10
9077,Albert Street,2019-10-11
9077,Albert Street,2019-10-12
9077,Albert Street,2019-10-13
9077,Albert Street,2019-10-14
9077,Albert Street,2019-10-15
9077,Albert Street,2019-10-16
9077,Albert Street,2019-10-17
9077,Albert Street,2019-10-18
9077,Albert Street,2019-10-19
9077,Albert Street,2019-10-20
9077,Albert Street,2019-10-21
9077,Albert Street,2019-10-22
9077,Albert Street,2019-10-23
9077,Albert Street,2019-10-24
9077,Albert Street,2019-10-25
9077,Albert Street,2019-10-26
9077,Albert Street,2019-10-27
9077,Albert Street,2019-10-28
9077,Albert Street,2019-10-29
9077,Albert Street,2019-10-30
9077,Albert Street,2019-10-31
9077,Albert Street,2019-11-01
9077,Albert Street,2019-11-02
9077,Albert Street,2019-11-03
9077,Albert Street,2019-11-04
9077,Albert Street,2019-11-05
9077,Albert Street,2019-11-06
9077,Albert Street,2019-11-07
9077,Albert Street,2019-11-08
9077,Albert Street,2019-11-09
9077,Albert Street,2019-11-10
9077,Albert Street,2019-11-11
9077,Albert Street,2019-11-12
9077,Albert Street,2019-11-13
9077,Albert Street,2019-11-14
9077,Albert Street,2019-11-15
9077,Albert Street,2019-11-16
9077,Albert Street,2019-11-17
9077,Albert Street,2019-11-18
9077,Albert Street,2019-11-19
9077,Albert Street,2019-11-20
9077,Albert Street,2019-11-21
9077,Albert Street,2019-11-22
9077,Albert Street,2019-11-23
9077,Albert Street,2019-11-24
9077,Albert Street,2019-11-25
9077,Albert Street,2019-11-26
9077,Albert Street,2019-11-27
9077,Albert Street,2019-11-28
9077,Albert Street,2019-11-29
9077,Albert Street,2019-11-30
9077,Albert Street,2019-12-01
9077,Albert Street,2019-12-02
9077,Albert Street,2019-12-03
9077,Albert Street,2019-12-04
9077,Albert Street,2019-12-05
9077,Albert Street,2019-12-06
9077,Albert Street,2019-12-07
9077,Albert Street,2019-12-08
9077,Albert Street,2019-12-09
9077,Albert Street,2019-12-10
9077,Albert Street,2019-12-11
9077,Albert Street,2019-12-12
9077,Albert Street,2019-12-13
9077,Albert Street,2019-12-14
9077,Albert Street,2019-12-15
9077,Albert Street,2019-12-16
9077,Albert Street,2019-12-17
9077,Albert Street,2019-12-18
9077,Albert Street,2019-12-19
9077,Albert Street,2019-12-20
9077,Albert Street,2019-12-21
9077,Albert Street,2019-12-22
9077,Albert Street,2019-12-23
9077,Albert Street,2019-12-24
9077,Albert Street,2019-12-25
9077,Albert Street,2019-12-26
9077,Albert Street,2019-12-27
9077,Albert Street,2019-12-28
9077,Albert Street,2019-12-29
9077,Albert Street,2019-12-30
9077,Albert Street,2019-12-31
9077,Albert Street,2020-01-01
9077,Albert Street,2020-01-02
9077,Albert Street,2020-01-03
9077,Albert Street,2020-01-04
9077,Albert Street,2020-01-05
9077,Albert Street,2020-01-06
9077,Albert Street,2020-01-07
9077,Albert Street,2020-01-08
9077,Albert Street,2020-01-09
9077,Albert Street,2020-01-10
9077,Albert Street,2020-01-11
9077,Albert Street,2020-01-12
9077,Albert Street,2020-01-13
9077,Albert Street,2020-01-14
9077,Albert Street,2020-01-15
9077,Albert Street,2020-01-16
9077,Albert Street,2020-01-17
9077,Albert Street,2020-01-18
9077,Albert Street,2020-01-19
9077,Albert Street,2022-12-26
9077,Albert Street,2022-12-27
9077,Albert Street,2022-12-28
9077,Albert Street,2022-12-29
9077,Albert Street,2022-12-30
9077,Albert Street,2022-12-31
40004,Heidelberg Road,2019-10-01
40004,Heidelberg Road,2019-10-02
40004,Heidelberg Road,2019-10-03
40004,Heidelberg Road,2019-10-04
40004,Heidelberg Road,2019-10-05
40004,Heidelberg Road,2019-10-06
40004,Heidelberg Road,2019-10-07
40004,Heidelberg Road,2019-10-08
40004,Heidelberg Road,2019-10-09
40004,Heidelberg Road,2019-10-10
40004,Heidelberg Road,2019-10-11
40004,Heidelberg Road,2019-10-12
40004,Heidelberg Road,2019-10-13
40004,Heidelberg Road,2019-10-14
40004,Heidelberg Road,2019-10-15
40004,Heidelberg Road,2019-10-16
40004,Heidelberg Road,2019-10-17
40004,Heidelberg Road,2019-10-18
40004,Heidelberg Road,2019-10-19
40004,Heidelberg Road,2019-10-20
40004,Heidelberg Road,2019-10-21
40004,Heidelberg Road,2019-10-22
40004,Heidelberg Road,2019-10-23
40004,Heidelberg Road,2019-10-24
40004,Heidelberg Road,2019-10-25
40004,Heidelberg Road,2019-10-26
40004,Heidelberg Road,2019-10-27
40004,Heidelberg Road,2019-10-28
40004,Heidelberg Road,2019-10-29
40004,Heidelberg Road,2019-10-30
40004,Heidelberg Road,2019-10-31
40004,Heidelberg Road,2019-11-01
40004,Heidelberg Road,2019-11-02
40004,Heidelberg Road,2019-11-03
40004,Heidelberg Road,2019-11-04
40004,Heidelberg Road,2019-11-05
40004,Heidelberg Road,2019-11-06
40004,Heidelberg Road,2019-11-07
40004,Heidelberg Road,2019-11-08
40004,Heidelberg Road,2019-11-09
40004,Heidelberg Road,2019-11-10
40004,Heidelberg Road,2019-11-11
40004,Heidelberg Road,2019-11-12
40004,Heidelberg Road,2019-11-13
40004,Heidelberg Road,2019-11-14
40004,Heidelberg Road,2019-11-15
40004,Heidelberg Road,2019-11-16
40004,Heidelberg Road,2019-11-17
40004,Heidelberg Road,2019-11-18
40004,Heidelberg Road,2019-11-19
40004,Heidelberg Road,2019-11-20
40004,Heidelberg Road,2019-11-21
40004,Heidelberg Road,2019-11-22
40004,Heidelberg Road,2019-11-23
40004,Heidelberg Road,2019-11-24
40004,Heidelberg Road,2019-11-25
40004,Heidelberg Road,2019-11-26
40004,Heidelberg Road,2019-11-27
40004,Heidelberg Road,2019-11-28
40004,Heidelberg Road,2019-11-29
40004,Heidelberg Road,2019-11-30
40004,Heidelberg Road,2019-12-01
40004,Heidelberg Road,2019-12-02
40004,Heidelberg Road,2019-12-03
40004,Heidelberg Road,2019-12-04
40004,Heidelberg Road,2019-12-05
40004,Heidelberg Road,2019-12-06
40004,Heidelberg Road,2019-12-07
40004,Heidelberg Road,2019-12-08
40004,Heidelberg Road,2019-12-09
40004,Heidelberg Road,2019-12-10
40004,Heidelberg Road,2019-12-11
40004,Heidelberg Road,2019-12-12
40004,Heidelberg Road,2019-12-13
40004,Heidelberg Road,2019-12-14
40004,Heidelberg Road,2019-12-15
40004,Heidelberg Road,2019-12-16
40004,Heidelberg Road,2019-12-17
40004,Heidelberg Road,2019-12-18
40004,Heidelberg Road,2019-12-19
40004,Heidelberg Road,2019-12-20
40004,Heidelberg Road,2019-12-21
40004,Heidelberg Road,2019-12-22
40004,Heidelberg Road,2019-12-23
40004,Heidelberg Road,2019-12-24
40004,Heidelberg Road,2019-12-25
40004,Heidelberg Road,2019-12-26
40004,Heidelberg Road,2019-12-27
40004,Heidelberg Road,2019-12-28
40004,Heidelberg Road,2019-12-29
40004,Heidelberg Road,2019-12-30
40004,Heidelberg Road,2019-12-31
40004,Heidelberg Road,2020-01-01
40004,Heidelberg Road,2020-01-02
40004,Heidelberg Road,2020-01-03
40004,Heidelberg Road,2020-01-04
40004,Heidelberg Road,2020-01-05
40004,Heidelberg Road,2020-01-06
40004,Heidelberg Road,2020-01-07
40004,Heidelberg Road,2020-01-08
40004,Heidelberg Road,2020-01-09
40004,Heidelberg Road,2020-01-10
40004,Heidelberg Road,2020-01-11
