LOC_LEG,SITE_XN_ROUTE,GPS_LAT,GPS_LONG,SURFACE_TYPE,TFM_DESC,BEARING_DESC,REGION,STATUS,PURPOSE
59437,6411,-37.772347,144.990631,BIKE PATH,ST. GEORGES RD N BD 28M S OF SUMNER AV,NORTH BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Commuter
59438,6411,-37.772347,144.990631,BIKE PATH,ST. GEORGES RD S BD 28M S OF SUMNER AV,SOUTH BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Commuter
59485,6415,-37.827009,144.984261,BIKE PATH,NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,EAST BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Commuter
59486,6415,-37.827009,144.984261,BIKE PATH,NORTH BANK W BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,WEST BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Commuter
59458,6419,-37.758216,144.980308,BIKE PATH,MERRI CREEK TRAIL N BD S OF MORELAND RD,NORTH BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Recreational
59459,6419,-37.758216,144.980308,BIKE PATH,"MERRI CREEK TRAIL, S BD S OF MORELAND RD",SOUTH BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Recreational
59460,6423,-37.820161,144.840941,BIKE PATH,FEDERATION TRAIL NW BD 170M SE OF PRINCESS HWY BTW CYPRESS AV & CONIFER AV,NORTH WEST BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Recreational
59461,6423,-37.820161,144.840941,BIKE PATH,FEDERATION TRAIL SE BD 170M SE OF PRINCESS HWY BTW CYPRESS AV & CONIFER AV,SOUTH EAST BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Recreational
59479,6588,-37.793007,144.973646,BIKE PATH,CANNING ST N BD PRINCESS ST OUTSIDE DAN O'CONNELL,NORTH BOUND,METRO NORTH WEST,Decommisioned moved to Site 34314.  The last day of data is 29 Dec 2019.,
59480,6588,-37.793007,144.973646,BIKE PATH,CANNING ST S BD PRINCESS ST OUTSIDE DAN O'CONNELL,SOUTH BOUND,METRO NORTH WEST,Decommisioned moved to Site 34314.  The last day of data is 29 Dec 2019.,
