"","QUARTER","SiteID","STREET_SEGMENT_ID","Baseline","InterventionType","InterventionSummary","is_under_construction","other_major_construction","StreetInScopeOnStreetParking","StreetInScopeParkingFormat","StreetInScopeOnStreetParkingCap","BufferOnStreetParking","BufferOnStreetParkingCapacity","BufferOnStreetParkingFormat"
"1","9900Q2","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"2","9900Q3","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"3","9900Q4","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"4","0001Q1","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"5","0001Q2","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"6","0001Q3","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"7","0001Q4","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"8","0102Q1","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"9","0102Q2","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"10","0102Q3","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"11","0102Q4","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"12","0203Q1","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"13","0203Q2","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"14","0203Q3","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"15","0203Q4","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"16","0304Q1","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"17","0304Q2","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"18","0304Q3","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"19","0304Q4","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"20","0405Q1","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"21","0405Q2","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"22","0405Q3","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"23","0405Q4","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"24","0506Q1","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"25","0506Q2","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"26","0506Q3","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"27","0506Q4","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"28","0607Q1","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"29","0607Q2","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"30","0607Q3","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"31","0607Q4","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"32","0708Q1","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"33","0708Q2","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"34","0708Q3","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"35","0708Q4","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"36","0809Q1","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"37","0809Q2","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"38","0809Q3","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"39","0809Q4","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"40","0910Q1","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"41","0910Q2","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"42","0910Q3","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"43","0910Q4","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"44","1011Q1","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"45","1011Q2","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"46","1011Q3","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"47","1011Q4","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"48","1112Q1","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"49","1112Q2","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"50","1112Q3","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"51","1112Q4","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"52","1213Q1","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"53","1213Q2","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"54","1213Q3","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"55","1213Q4","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"56","1314Q1","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"57","1314Q2","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"58","1314Q3","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"59","1314Q4","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"60","1415Q1","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"61","1415Q2","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"62","1415Q3","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"63","1415Q4","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"64","1516Q1","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"65","1516Q2","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"66","1516Q3","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"67","1516Q4","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"68","1617Q1","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"69","1617Q2","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"70","1617Q3","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"71","1617Q4","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"72","1718Q1","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"73","1718Q2","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"74","1718Q3","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"75","1718Q4","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
"76","1819Q1","1",12016,NA,"","",0,0,1,"Parallel",7,1,"Medium","Parallel"
