InterventionID,SiteID,StreetSegmentID,SiteType,Baseline,StreetInScope,InterventionSiteID,DateOfIntervention/InitialCapture,DisruptionStartDate,DisruptionEndDate,InterventionType,NoChangeSince,StreetTrees,StreetTreesChange,StreetLighting,StreetLightingChange,StreetFurniture,StreetFurnitureChange,Placemaking,PlacemakingChange,Wayfinding,WayfindingChange,StreetInScopeOnStreetParking,StreetInScopeParkingFormat,StreetInScopeOnStreetParkingCapacity,BufferOnStreetParking,BufferOnStreetParkingFormat,BufferOnStreetParkingCapacity,OffStreetParking,OffStreetParkingCapacity,NumberOfTrafficLanes,PedestrianEstimatesAvgDay,InterventionSummary,InterventionSummaryExpanded,Comment
control_id_1_11903,control_id_1,11903,Control,Yes,LYGON STREET,NA,20251015,NA,NA,Control,20091012,Yes,NA,Yes,NA,Yes,NA,No,NA,No,NA,Yes,Parallel,105,Yes,Mixed,High,Yes,Low,2,2360,NA Control Site,NA Control Site,
control_id_10_3391,control_id_10,3391,Control,Yes,HIGH STREET,NA,20251015,NA,NA,Control,20180116,Yes,NA,Yes,NA,Yes,NA,No,NA,No,NA,Yes,Parallel,152,Yes,Parallel,High,No,None,2,2230,NA Control Site,NA Control Site,No Change since 12102009
control_id_101_4175,control_id_101,4175,Control,Yes,MURRUMBEENA ROAD,NA,20251004,NA,NA,Control,20190114,Yes,NA,Yes,NA,Yes,NA,Yes,NA,Yes,NA,Yes,Parallel,7,Yes,Parallel,Medium,Yes,High,4,1390,NA Control Site,NA Control Site,"Site Parking - ~ 8 spots S of Railway Pde, Off Street at station
NoChangeSince - post Level crossing works"
control_id_102_3813,control_id_102,3813,Control,Yes,WATTON STREET,NA,20251015,NA,NA,Control,20210902,Yes,NoChange,Yes,NoChange,Yes,NoChange,Yes,NoChange,Yes,NoChange,Yes,Angled,237,Yes,Mixed,Medium,Yes,High,2,2730,NA Control Site,NA Control Site,2 additional parking bays added on Watton St in 2015 after removal of vehicle accessway. Multi-storey parking on Princes Hwy constructed 2021
control_id_103_12024,control_id_103,12024,Control,Yes,ERROL ST,NA,20251015,NA,NA,Control,20210901,Yes,NA,Yes,NA,Yes,NA,Yes,NA,Yes,NA,Yes,Parallel,44,Yes,Mixed,High,Yes,Low,2,3620,NA Control site,NA Control Site,"Jan 22 2021: Shopfront extended onto road which reduced on-street parking by 4 spots
Sep 1 2021: Shopfront extent reduced, so gained back 2 on-street parking spots"
control_id_104_12025,control_id_104,12025,Control,Yes,ERROL ST,NA,20251015,20240623,20251015,Control,20091012,Yes,NoChange,Yes,NoChange,Yes,NoChange,No,NoChange,Yes,NoChange,Yes,Parallel,43,Yes,Mixed,High,No,None,2,2110,NA Control Site,NA Control Site,Arden St protected bike lanes constructed from 2024
control_id_105_4844,control_id_105,4844,Control,Yes,COLLINS STREET,NA,20251015,NA,NA,Control,20100621,Yes,NA,Yes,NA,Yes,NA,Yes,NA,Yes,NA,Yes,Parallel,18,Yes,Parallel,Low,Yes,High,2,28820,NA Control Site,NA Control Site,"Parking - various parking garages
NoChangeSince - cycling linemarking"
control_id_105_4845,control_id_105,4845,Control,Yes,COLLINS STREET,NA,20251015,NA,NA,Control,20100621,Yes,NA,Yes,NA,Yes,NA,Yes,NA,Yes,NA,Yes,Parallel,30,Yes,Parallel,Low,Yes,High,2,28040,NA Control Site,NA Control Site,"Parking - various parking garages
NoChangeSince - cycling linemarking"
control_id_106_6079,control_id_106,6079,Control,Yes,LONSDALE STREET,NA,20251015,20140314,20230706,Control,20230706,Yes,NA,Yes,NA,Yes,NA,Yes,NA,Yes,NA,Yes,None,0,Yes,Parallel,Low,Yes,High,4,11390,NA Control site,NA Control Site,"2009 to 2023: Series of construction of high-rise buildings
Took disruption start and end date  of demolition of old building to the final construction of current building"
control_id_106_6080,control_id_106,6080,Control,Yes,LONSDALE STREET,NA,20251015,20220628,20251015,Control,20251015,Yes,NA,Yes,NA,Yes,NA,No,NA,Yes,NA,Yes,Mixed,59,Yes,Parallel,Medium,Yes,High,4,14610,NA Control site,NA Control Site,2022 to 2025: Renovations to corner building 
