SITE_ID,STREET,DATE_PARSED,BICYCLE_DETECTIONS
9077,Albert Street,2019-01-01,195
9077,Albert Street,2019-01-02,806
9077,Albert Street,2019-01-03,975
9077,Albert Street,2019-01-04,558
9077,Albert Street,2019-01-05,303
9077,Albert Street,2019-01-06,334
9077,Albert Street,2019-01-07,1395
9077,Albert Street,2019-01-08,1592
9077,Albert Street,2019-01-09,1471
9077,Albert Street,2019-01-10,1574
9077,Albert Street,2019-01-11,1230
9077,Albert Street,2019-01-12,342
9077,Albert Street,2019-01-13,360
9077,Albert Street,2019-01-14,1448
9077,Albert Street,2019-01-15,1615
9077,Albert Street,2019-01-16,1667
9077,Albert Street,2019-01-17,1487
9077,Albert Street,2019-01-18,1224
9077,Albert Street,2019-01-19,456
9077,Albert Street,2019-01-20,425
9077,Albert Street,2019-01-21,1639
9077,Albert Street,2019-01-22,1762
9077,Albert Street,2019-01-23,1807
9077,Albert Street,2019-01-24,1418
9077,Albert Street,2019-01-25,863
9077,Albert Street,2019-01-26,457
9077,Albert Street,2019-01-27,358
9077,Albert Street,2019-01-28,339
9077,Albert Street,2019-01-29,1569
9077,Albert Street,2019-01-30,1453
9077,Albert Street,2019-01-31,1706
9077,Albert Street,2019-02-01,1499
9077,Albert Street,2019-02-02,414
9077,Albert Street,2019-02-03,292
9077,Albert Street,2019-02-04,1703
9077,Albert Street,2019-02-05,1831
9077,Albert Street,2019-02-06,1490
9077,Albert Street,2019-02-07,1453
9077,Albert Street,2019-02-08,1447
9077,Albert Street,2019-02-09,311
9077,Albert Street,2019-02-10,400
9077,Albert Street,2019-02-11,1741
9077,Albert Street,2019-02-12,1644
9077,Albert Street,2019-02-13,1766
9077,Albert Street,2019-02-14,1714
9077,Albert Street,2019-02-15,1506
9077,Albert Street,2019-02-16,535
9077,Albert Street,2019-02-17,378
9077,Albert Street,2019-02-18,1715
9077,Albert Street,2019-02-19,1833
9077,Albert Street,2019-02-20,1795
9077,Albert Street,2019-02-21,1747
9077,Albert Street,2019-02-22,1534
9077,Albert Street,2019-02-23,429
9077,Albert Street,2019-02-24,374
9077,Albert Street,2019-02-25,1707
9077,Albert Street,2019-02-26,1971
9077,Albert Street,2019-02-27,1853
9077,Albert Street,2019-02-28,1673
9077,Albert Street,2019-03-01,1314
9077,Albert Street,2019-03-02,329
9077,Albert Street,2019-03-03,268
9077,Albert Street,2019-03-04,1817
9077,Albert Street,2019-03-05,1971
9077,Albert Street,2019-03-06,1697
9077,Albert Street,2019-03-07,1797
9077,Albert Street,2019-03-08,1557
9077,Albert Street,2019-03-09,400
9077,Albert Street,2019-03-10,336
9077,Albert Street,2019-03-11,432
9077,Albert Street,2019-03-12,1764
9077,Albert Street,2019-03-13,1596
9077,Albert Street,2019-03-14,1613
9077,Albert Street,2019-03-15,1402
9077,Albert Street,2019-03-16,454
9077,Albert Street,2019-03-17,315
9077,Albert Street,2019-03-18,1596
9077,Albert Street,2019-03-19,1677
9077,Albert Street,2019-03-20,1465
9077,Albert Street,2019-03-21,1644
9077,Albert Street,2019-03-22,1304
9077,Albert Street,2019-03-23,339
9077,Albert Street,2019-03-24,311
9077,Albert Street,2019-03-25,1388
9077,Albert Street,2019-03-26,1490
9077,Albert Street,2019-03-27,1583
9077,Albert Street,2019-03-28,1574
9077,Albert Street,2019-03-29,1175
9077,Albert Street,2019-03-30,194
9077,Albert Street,2019-03-31,292
9077,Albert Street,2019-04-01,1410
9077,Albert Street,2019-04-02,1555
9077,Albert Street,2019-04-03,1477
9077,Albert Street,2019-04-04,1500
9077,Albert Street,2019-04-05,1388
9077,Albert Street,2019-04-06,467
9077,Albert Street,2019-04-07,434
9077,Albert Street,2019-04-08,1577
9077,Albert Street,2019-04-09,1630
9077,Albert Street,2019-04-10,1449
9077,Albert Street,2019-04-11,1644
9077,Albert Street,2019-04-12,1490
9077,Albert Street,2019-04-13,512
9077,Albert Street,2019-04-14,423
9077,Albert Street,2019-04-15,1641
9077,Albert Street,2019-04-16,1788
9077,Albert Street,2019-04-17,1665
9077,Albert Street,2019-04-18,1416
9077,Albert Street,2019-04-19,310
9077,Albert Street,2019-04-20,393
9077,Albert Street,2019-04-21,223
9077,Albert Street,2019-04-22,397
9077,Albert Street,2019-04-23,1293
9077,Albert Street,2019-04-24,1311
9077,Albert Street,2019-04-25,492
9077,Albert Street,2019-04-26,762
9077,Albert Street,2019-04-27,361
9077,Albert Street,2019-04-28,301
9077,Albert Street,2019-04-29,1668
9077,Albert Street,2019-04-30,1766
9077,Albert Street,2019-05-01,1460
9077,Albert Street,2019-05-02,1177
9077,Albert Street,2019-05-03,1439
9077,Albert Street,2019-05-04,407
9077,Albert Street,2019-05-05,422
9077,Albert Street,2019-05-06,1584
9077,Albert Street,2019-05-07,1807
9077,Albert Street,2019-05-08,1531
9077,Albert Street,2019-05-09,1416
9077,Albert Street,2019-05-10,783
9077,Albert Street,2019-05-11,447
9077,Albert Street,2019-05-12,339
9077,Albert Street,2019-05-13,1631
9077,Albert Street,2019-05-14,1733
9077,Albert Street,2019-05-15,1638
9077,Albert Street,2019-05-16,1683
9077,Albert Street,2019-05-17,1456
9077,Albert Street,2019-05-18,468
9077,Albert Street,2019-05-19,440
9077,Albert Street,2019-05-20,1305
9077,Albert Street,2019-05-21,1710
9077,Albert Street,2019-05-22,1679
9077,Albert Street,2019-05-23,1650
9077,Albert Street,2019-05-24,1109
9077,Albert Street,2019-05-25,416
9077,Albert Street,2019-05-26,369
9077,Albert Street,2019-05-27,1203
9077,Albert Street,2019-05-28,1399
9077,Albert Street,2019-05-29,1120
9077,Albert Street,2019-05-30,1109
9077,Albert Street,2019-05-31,836
9077,Albert Street,2019-06-01,332
9077,Albert Street,2019-06-02,328
9077,Albert Street,2019-06-03,816
9077,Albert Street,2019-06-04,1308
9077,Albert Street,2019-06-05,1396
9077,Albert Street,2019-06-06,1419
9077,Albert Street,2019-06-07,1248
9077,Albert Street,2019-06-08,344
9077,Albert Street,2019-06-09,274
9077,Albert Street,2019-06-10,328
9077,Albert Street,2019-06-11,1538
9077,Albert Street,2019-06-12,954
9077,Albert Street,2019-06-13,1483
9077,Albert Street,2019-06-14,1154
9077,Albert Street,2019-06-15,347
9077,Albert Street,2019-06-16,271
9077,Albert Street,2019-06-17,1483
9077,Albert Street,2019-06-18,1144
9077,Albert Street,2019-06-19,1254
9077,Albert Street,2019-06-20,875
9077,Albert Street,2019-06-21,912
9077,Albert Street,2019-06-22,297
9077,Albert Street,2019-06-23,247
9077,Albert Street,2019-06-24,1327
9077,Albert Street,2019-06-25,1376
9077,Albert Street,2019-06-26,1287
9077,Albert Street,2019-06-27,1386
9077,Albert Street,2019-06-28,1183
9077,Albert Street,2019-06-29,161
9077,Albert Street,2019-06-30,333
9077,Albert Street,2019-07-01,1303
9077,Albert Street,2019-07-02,1266
9077,Albert Street,2019-07-03,1298
9077,Albert Street,2019-07-04,1342
9077,Albert Street,2019-07-05,1064
9077,Albert Street,2019-07-06,453
9077,Albert Street,2019-07-07,280
9077,Albert Street,2019-07-08,1219
9077,Albert Street,2019-07-09,1356
9077,Albert Street,2019-07-10,1216
9077,Albert Street,2019-07-11,1060
9077,Albert Street,2019-07-12,777
9077,Albert Street,2019-07-13,271
9077,Albert Street,2019-07-14,192
9077,Albert Street,2019-07-15,1028
9077,Albert Street,2019-07-16,1057
9077,Albert Street,2019-07-17,1047
9077,Albert Street,2019-07-18,1174
9077,Albert Street,2019-07-19,1019
9077,Albert Street,2019-07-20,394
9077,Albert Street,2019-07-21,277
9077,Albert Street,2019-07-22,1317
9077,Albert Street,2019-07-23,969
9077,Albert Street,2019-07-24,1217
9077,Albert Street,2019-07-25,1256
9077,Albert Street,2019-07-26,803
9077,Albert Street,2019-07-27,322
9077,Albert Street,2019-07-28,319
9077,Albert Street,2019-07-29,1306
9077,Albert Street,2019-07-30,1425
9077,Albert Street,2019-07-31,1319
9077,Albert Street,2019-08-01,1305
9077,Albert Street,2019-08-02,1070
9077,Albert Street,2019-08-03,287
9077,Albert Street,2019-08-04,277
9077,Albert Street,2020-01-20,925
9077,Albert Street,2020-01-21,1472
9077,Albert Street,2020-01-22,1576
9077,Albert Street,2020-01-23,858
9077,Albert Street,2020-01-24,1486
9077,Albert Street,2020-01-25,412
9077,Albert Street,2020-01-26,538
9077,Albert Street,2020-01-27,467
9077,Albert Street,2020-01-28,1895
9077,Albert Street,2020-01-29,1965
9077,Albert Street,2020-01-30,1615
9077,Albert Street,2020-01-31,1189
9077,Albert Street,2020-02-01,217
9077,Albert Street,2020-02-02,452
9077,Albert Street,2020-02-03,1718
9077,Albert Street,2020-02-04,1915
9077,Albert Street,2020-02-05,1805
9077,Albert Street,2020-02-06,1480
9077,Albert Street,2020-02-07,941
9077,Albert Street,2020-02-08,287
9077,Albert Street,2020-02-09,208
9077,Albert Street,2020-02-10,1087
9077,Albert Street,2020-02-11,1280
9077,Albert Street,2020-02-12,1247
9077,Albert Street,2020-02-13,1301
9077,Albert Street,2020-02-14,1003
9077,Albert Street,2020-02-15,249
9077,Albert Street,2020-02-16,399
9077,Albert Street,2020-02-17,1674
9077,Albert Street,2020-02-18,1149
9077,Albert Street,2020-02-19,954
9077,Albert Street,2020-02-20,1380
9077,Albert Street,2020-02-21,1242
9077,Albert Street,2020-02-22,525
9077,Albert Street,2020-02-23,401
9077,Albert Street,2020-02-24,1556
9077,Albert Street,2020-02-25,1497
9077,Albert Street,2020-02-26,1414
9077,Albert Street,2020-02-27,1575
9077,Albert Street,2020-02-28,1303
9077,Albert Street,2020-02-29,477
9077,Albert Street,2020-03-01,386
9077,Albert Street,2020-03-02,1340
9077,Albert Street,2020-03-03,1583
9077,Albert Street,2020-03-04,1348
9077,Albert Street,2020-03-05,665
9077,Albert Street,2020-03-06,1091
9077,Albert Street,2020-03-07,363
9077,Albert Street,2020-03-08,366
9077,Albert Street,2020-03-09,389
9077,Albert Street,2020-03-10,1373
9077,Albert Street,2020-03-11,1371
9077,Albert Street,2020-03-12,1178
9077,Albert Street,2020-03-13,892
9077,Albert Street,2020-03-14,378
9077,Albert Street,2020-03-15,327
9077,Albert Street,2020-03-16,1605
9077,Albert Street,2020-03-17,1562
9077,Albert Street,2020-03-18,1436
9077,Albert Street,2020-03-19,1290
9077,Albert Street,2020-03-20,1187
9077,Albert Street,2020-03-21,379
9077,Albert Street,2020-03-22,344
9077,Albert Street,2020-03-23,1014
9077,Albert Street,2020-03-24,840
9077,Albert Street,2020-03-25,623
9077,Albert Street,2020-03-26,635
9077,Albert Street,2020-03-27,626
9077,Albert Street,2020-03-28,339
9077,Albert Street,2020-03-29,246
9077,Albert Street,2020-03-30,485
9077,Albert Street,2020-03-31,470
9077,Albert Street,2020-04-01,347
9077,Albert Street,2020-04-02,201
9077,Albert Street,2020-04-03,313
9077,Albert Street,2020-04-04,128
9077,Albert Street,2020-04-05,111
9077,Albert Street,2020-04-06,373
9077,Albert Street,2020-04-07,413
9077,Albert Street,2020-04-08,370
9077,Albert Street,2020-04-09,427
9077,Albert Street,2020-04-10,328
9077,Albert Street,2020-04-11,151
9077,Albert Street,2020-04-12,217
9077,Albert Street,2020-04-13,375
9077,Albert Street,2020-04-14,423
9077,Albert Street,2020-04-15,440
9077,Albert Street,2020-04-16,402
9077,Albert Street,2020-04-17,480
9077,Albert Street,2020-04-18,295
9077,Albert Street,2020-04-19,405
9077,Albert Street,2020-04-20,324
9077,Albert Street,2020-04-21,399
9077,Albert Street,2020-04-22,396
9077,Albert Street,2020-04-23,388
9077,Albert Street,2020-04-24,397
9077,Albert Street,2020-04-25,371
9077,Albert Street,2020-04-26,190
9077,Albert Street,2020-04-27,420
9077,Albert Street,2020-04-28,550
9077,Albert Street,2020-04-29,253
9077,Albert Street,2020-04-30,426
9077,Albert Street,2020-05-01,301
9077,Albert Street,2020-05-02,309
9077,Albert Street,2020-05-03,407
9077,Albert Street,2020-05-04,447
9077,Albert Street,2020-05-05,636
9077,Albert Street,2020-05-06,632
9077,Albert Street,2020-05-07,566
9077,Albert Street,2020-05-08,586
9077,Albert Street,2020-05-09,198
9077,Albert Street,2020-05-10,463
9077,Albert Street,2020-05-11,587
9077,Albert Street,2020-05-12,623
9077,Albert Street,2020-05-13,461
9077,Albert Street,2020-05-14,627
9077,Albert Street,2020-05-15,641
9077,Albert Street,2020-05-16,535
