street_segment_id,street_name,captureDate,day_of_week,fy_quarter,period,coverage
123,GHERINGHAP STREET,25/11/2020,Wednesday,2021Q2,before,both ends
123,GHERINGHAP STREET,11/01/2021,Monday,2021Q3,before,both ends
123,GHERINGHAP STREET,11/03/2021,Thursday,2021Q3,before,both ends
123,GHERINGHAP STREET,22/05/2021,Saturday,2021Q4,before,both ends
123,GHERINGHAP STREET,31/07/2021,Saturday,2122Q1,before,both ends
123,GHERINGHAP STREET,6/10/2021,Wednesday,2122Q2,during construction (exclude),both ends
123,GHERINGHAP STREET,22/11/2021,Monday,2122Q2,during construction (exclude),both ends
123,GHERINGHAP STREET,20/01/2022,Thursday,2122Q3,after,both ends
123,GHERINGHAP STREET,14/04/2022,Thursday,2122Q4,after,both ends
123,GHERINGHAP STREET,8/08/2022,Monday,2223Q1,after,both ends
123,GHERINGHAP STREET,10/12/2022,Saturday,2223Q2,after,both ends
125,GHERINGHAP STREET,25/11/2020,Wednesday,2021Q2,before,both ends
125,GHERINGHAP STREET,11/01/2021,Monday,2021Q3,before,both ends
125,GHERINGHAP STREET,11/03/2021,Thursday,2021Q3,before,both ends
125,GHERINGHAP STREET,22/05/2021,Saturday,2021Q4,before,both ends
125,GHERINGHAP STREET,31/07/2021,Saturday,2122Q1,before,both ends
125,GHERINGHAP STREET,6/10/2021,Wednesday,2122Q2,during construction (exclude),both ends
125,GHERINGHAP STREET,22/11/2021,Monday,2122Q2,during construction (exclude),both ends
125,GHERINGHAP STREET,20/01/2022,Thursday,2122Q3,after,both ends
125,GHERINGHAP STREET,14/04/2022,Thursday,2122Q4,after,both ends
125,GHERINGHAP STREET,8/08/2022,Monday,2223Q1,after,both ends
125,GHERINGHAP STREET,10/12/2022,Saturday,2223Q2,after,both ends
858,RATHDOWNE STREET,17/02/2020,Monday,1920Q3,before,both ends
858,RATHDOWNE STREET,28/04/2020,Tuesday,1920Q4,before,both ends
858,RATHDOWNE STREET,4/06/2020,Thursday,1920Q4,before,both ends
858,RATHDOWNE STREET,7/09/2020,Monday,2021Q1,before,both ends
858,RATHDOWNE STREET,2/11/2020,Monday,2021Q2,before,both ends
858,RATHDOWNE STREET,8/11/2020,Sunday,2021Q2,before,both ends
858,RATHDOWNE STREET,22/01/2021,Friday,2021Q3,during construction (exclude),both ends
858,RATHDOWNE STREET,11/03/2021,Thursday,2021Q3,during construction (exclude),both ends
858,RATHDOWNE STREET,29/04/2021,Thursday,2021Q4,during construction (exclude),both ends
858,RATHDOWNE STREET,21/06/2021,Monday,2021Q4,during construction (exclude),both ends
858,RATHDOWNE STREET,27/07/2021,Tuesday,2122Q1,after,both ends
858,RATHDOWNE STREET,1/09/2021,Wednesday,2122Q1,after,both ends
858,RATHDOWNE STREET,23/09/2021,Thursday,2122Q1,after,both ends
858,RATHDOWNE STREET,26/09/2021,Sunday,2122Q1,after,both ends
858,RATHDOWNE STREET,27/10/2021,Wednesday,2122Q2,after,both ends
858,RATHDOWNE STREET,31/10/2021,Sunday,2122Q2,after,both ends
858,RATHDOWNE STREET,24/12/2021,Friday,2122Q2,after,both ends
