sid,street,itype,date,cap_pre,cap_post,delta,pct
123,GHERINGHAP STREET,protected bike lane,2021-10-01,42.0,30.75,-11.25,-26.785714285714285
124,GHERINGHAP STREET,protected bike lane,2021-10-01,58.0,47.5,-10.5,-18.103448275862068
125,GHERINGHAP STREET,protected bike lane,2021-10-01,63.0,60.75,-2.25,-3.5714285714285716
858,RATHDOWNE STREET,protected bike lane,2021-01-01,74.0,66.5,-7.5,-10.135135135135135
859,RATHDOWNE STREET,protected bike lane,2021-01-01,42.0,20.25,-21.75,-51.785714285714285
1659,ABBOTSFORD STREET,protected bike lane,2009-10-01,75.0,75.0,0.0,0.0
1660,ABBOTSFORD STREET,protected bike lane,2009-10-01,29.0,29.0,0.0,0.0
1661,ABBOTSFORD STREET,protected bike lane,2009-10-01,27.0,27.0,0.0,0.0
1662,ABBOTSFORD STREET,protected bike lane,2009-10-01,45.0,45.0,0.0,0.0
1663,ABBOTSFORD STREET,protected bike lane,2009-10-01,13.0,13.0,0.0,0.0
1753,CECIL STREET,protected bike lane,2010-10-01,24.0,21.5,-2.5,-10.416666666666666
1754,CECIL STREET,protected bike lane,2010-10-01,40.0,40.0,0.0,0.0
2269,ACLAND STREET,pedestrian,2016-04-01,9.0,2.25,-6.75,-75.0
3124,KAVANAGH STREET,protected bike lane,2021-04-01,50.0,38.0,-12.0,-24.0
3503,HIGH STREET,regional_reallocation,2007-10-01,69.0,69.0,0.0,0.0
3504,HIGH STREET,regional_reallocation,2007-10-01,69.0,69.0,0.0,0.0
3536,PIER STREET,pedestrian,2020-07-01,15.0,3.75,-11.25,-75.0
3828,LA TROBE STREET,protected bike lane,2013-01-01,24.0,14.5,-9.5,-39.583333333333336
3829,LA TROBE STREET,protected bike lane,2013-01-01,34.0,28.5,-5.5,-16.176470588235293
3831,LA TROBE STREET,protected bike lane,2013-01-01,27.0,23.5,-3.5,-12.962962962962964
3832,LA TROBE STREET,protected bike lane,2013-01-01,40.0,33.5,-6.5,-16.25
3833,LA TROBE STREET,protected bike lane,2013-01-01,30.0,25.0,-5.0,-16.666666666666668
3834,LA TROBE STREET,protected bike lane,2013-01-01,43.0,32.5,-10.5,-24.41860465116279
3835,LA TROBE STREET,protected bike lane,2013-01-01,34.0,32.5,-1.5,-4.411764705882353
4751,FRENCH STREET,protected bike lane,2016-01-01,0.0,0.0,0.0,
4752,FRENCH STREET,protected bike lane,2016-01-01,0.0,0.0,0.0,
5082,WALKER STREET,protected bike lane,2010-04-01,16.0,16.0,0.0,0.0
5083,WALKER STREET,protected bike lane,2010-04-01,8.0,8.0,0.0,0.0
5629,SOUTHBANK BOULEVARD,protected bike lane,2018-04-01,4.0,4.0,0.0,0.0
5637,SOUTHBANK BOULEVARD,protected bike lane,2018-04-01,0.0,0.0,0.0,
5638,SOUTHBANK BOULEVARD,protected bike lane,2018-04-01,13.0,13.0,0.0,0.0
5639,SOUTHBANK BOULEVARD,protected bike lane,2018-04-01,2.0,2.0,0.0,0.0
5881,WELLINGTON STREET,protected bike lane,2015-01-01,43.0,28.5,-14.5,-33.72093023255814
5882,WELLINGTON STREET,protected bike lane,2015-01-01,37.0,24.5,-12.5,-33.78378378378378
5883,WELLINGTON STREET,protected bike lane,2015-01-01,106.0,106.0,0.0,0.0
6237,BAIR ST,regional_reallocation,2010-01-01,70.0,70.0,0.0,0.0
6289,MORAY STREET,protected bike lane,2018-04-01,9.0,4.5,-4.5,-50.0
6290,MORAY STREET,protected bike lane,2018-04-01,158.0,124.5,-33.5,-21.20253164556962
6388,PEEL STREET,protected bike lane,2020-07-01,13.0,13.0,0.0,0.0
6389,PEEL STREET,protected bike lane,2020-07-01,34.0,29.5,-4.5,-13.235294117647058
6624,ST KILDA ROAD,protected bike lane,2013-04-01,95.0,95.0,0.0,0.0
6625,ST KILDA ROAD,protected bike lane,2013-04-01,38.0,38.0,0.0,0.0
6626,ST KILDA ROAD,protected bike lane,2013-04-01,196.0,196.0,0.0,0.0
6630,ST KILDA ROAD,protected bike lane,2009-10-01,0.0,0.0,0.0,
6631,ST KILDA ROAD,protected bike lane,2009-10-01,293.0,292.0,-1.0,-0.3412969283276451
6632,ST KILDA ROAD,protected bike lane,2009-10-01,109.0,109.0,0.0,0.0
6633,ST KILDA ROAD,protected bike lane,2009-10-01,80.0,77.5,-2.5,-3.125
6634,ST KILDA ROAD,protected bike lane,2009-10-01,65.0,65.0,0.0,0.0
6635,ST KILDA ROAD,protected bike lane,2009-10-01,26.0,26.0,0.0,0.0
7325,EXHIBITION STREET,protected bike lane,2020-10-01,51.0,46.25,-4.75,-9.313725490196079
7326,EXHIBITION STREET,protected bike lane,2020-10-01,80.0,69.75,-10.25,-12.8125
7327,EXHIBITION STREET,protected bike lane,2020-10-01,62.0,49.25,-12.75,-20.56451612903226
7658,DAWSON STREET,protected bike lane,2021-04-01,106.0,88.0,-18.0,-16.9811320754717
7748,FITZROY STREET,protected bike lane,2007-10-01,60.0,60.0,0.0,0.0
7749,FITZROY STREET,protected bike lane,2007-10-01,50.0,50.0,0.0,0.0
8218,HEIDELBERG ROAD,protected bike lane,2020-10-01,72.0,68.25,-3.75,-5.208333333333333
8219,HEIDELBERG ROAD,protected bike lane,2020-10-01,6.0,6.0,0.0,0.0
8220,HEIDELBERG ROAD,protected bike lane,2020-10-01,100.0,85.75,-14.25,-14.25
8221,HEIDELBERG ROAD,protected bike lane,2020-10-01,16.0,16.0,0.0,0.0
9168,ELIZABETH STREET,protected bike lane,2012-04-01,136.0,136.0,0.0,0.0
