street_name,street_segment_id,suburb,postcode,lga,treatment_or_control,intervention_type,cbd,metro,regional,sid,segment_length_m,cap_reported,parking_format,has_parking,kerb_length_m,cap_geometric,obstruction_factor,cap_estimated,cap_best
KEILOR ROAD,211.0,Essendon,3040,Moonee Valley (C),control,control,0.0,1.0,0.0,211,674.3568047045595,102.0,Mixed,Yes,1348.713609409119,299.7141354242487,0.41763459812900344,125.17099250148782,102.0
KEILOR ROAD,212.0,Niddrie,3042,Moonee Valley (C),control,control,0.0,1.0,0.0,212,322.32926913831164,52.0,Parallel,Yes,644.6585382766233,107.44308971277054,0.41763459812900344,44.87195159393139,52.0
VICTORIA AVENUE,224.0,Albert Park,3206,Port Phillip (C),control,control,0.0,1.0,0.0,224,501.68713930844615,74.0,Parallel,Yes,1003.3742786168923,167.2290464361487,0.41763459812900344,69.84063560385742,74.0
MALING ROAD,269.0,Canterbury,3126,Boroondara (C),control,control,0.0,1.0,0.0,269,261.55594818950624,50.0,Parallel,Yes,523.1118963790125,87.18531606316874,0.41763459812900344,36.41160443679163,50.0
STEPHENSONS ROAD,300.0,Mount Waverley,3149,Monash (C),control,control,0.0,1.0,0.0,300,382.5250040884599,17.0,Parallel,Yes,765.0500081769198,127.50833469615331,0.41763459812900344,53.251892118926456,17.0
PAKINGTON STREET,1041.0,Geelong West,3218,Greater Geelong (C),control,control,0.0,0.0,1.0,1041,578.1156332891264,62.0,Parallel,Yes,1156.2312665782529,192.70521109637548,0.41763459812900344,80.48036339359955,62.0
PAKINGTON STREET,1042.0,Geelong West,3218,Greater Geelong (C),control,control,0.0,0.0,1.0,1042,247.59886422895318,23.0,Parallel,Yes,495.19772845790635,82.53295474298439,0.41763459812900344,34.46861738648551,23.0
PAKINGTON STREET,1043.0,Geelong West,3218,Greater Geelong (C),control,control,0.0,0.0,1.0,1043,220.26840267508862,30.0,Parallel,Yes,440.53680535017725,73.42280089169621,0.41763459812900344,30.663901943909384,30.0
NEERIM ROAD,1398.0,Murrumbeena,3163,Glen Eira (C),control,control,0.0,1.0,0.0,1398,211.27778375125195,37.0,Parallel,Yes,422.5555675025039,70.42592791708398,0.41763459812900344,29.412304103513534,37.0
POATH ROAD,1607.0,Hughesdale,3166,Monash (C),control,control,0.0,1.0,0.0,1607,117.143390870992,18.0,Parallel,Yes,234.286781741984,39.04779695699733,0.41763459812900344,16.307710989958505,18.0
POATH ROAD,1608.0,Murrumbeena,3163,Glen Eira (C),control,control,0.0,1.0,0.0,1608,202.66089076755105,26.0,Parallel,Yes,405.3217815351021,67.55363025585035,0.41763459812900344,28.21273322405735,26.0
HUDSONS ROAD,1680.0,Spotswood,3015,Hobsons Bay (C),control,control,0.0,1.0,0.0,1680,183.53961087226998,28.0,Parallel,Yes,367.07922174453995,61.17987029075666,0.41763459812900344,25.550830542464716,28.0
CLAYTON ROAD,1701.0,Clayton,3168,Monash (C),control,control,0.0,1.0,0.0,1701,469.21531567211593,68.0,Mixed,Yes,938.4306313442319,208.5401402987182,0.41763459812900344,87.09357768742117,68.0
BRIDGE ROAD,1758.0,Richmond,3121,Yarra (C),control,control,0.0,1.0,0.0,1758,809.753286498905,144.0,Parallel,Yes,1619.50657299781,269.91776216630166,0.41763459812900344,112.72699613020332,144.0
NORTH ROAD,2074.0,Ormond,3204,Glen Eira (C),control,control,0.0,1.0,0.0,2074,367.9167711050598,61.0,Parallel,Yes,735.8335422101196,122.63892370168661,0.41763459812900344,51.2182576151274,61.0
